Processes his02,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
2025-01-20 08:47:03,4,2,26613.1,-1.0,-1.0,-1.0,30.5,-1.0,-1.0,-1.0
2025-01-20 08:47:33,3,1,26362.5,-1.0,-1.0,-1.0,12.5,-1.0,-1.0,-1.0
2025-01-20 08:48:03,4,2,26643.6,-1.0,-1.0,-1.0,12.9,-1.0,-1.0,-1.0
2025-01-20 08:48:33,5,2,27977.6,-1.0,-1.0,-1.0,14.8,-1.0,-1.0,-1.0
2025-01-20 08:49:03,5,1,24556.4,-1.0,-1.0,-1.0,11.4,-1.0,-1.0,-1.0
2025-01-20 08:49:33,4,2,24443.6,-1.0,-1.0,-1.0,14.4,-1.0,-1.0,-1.0
2025-01-20 08:50:03,2,2,27541.7,-1.0,-1.0,-1.0,18.1,-1.0,-1.0,-1.0
2025-01-20 08:50:33,6,2,38221.7,-1.0,-1.0,-1.0,14.0,-1.0,-1.0,-1.0
2025-01-20 08:51:03,2,1,30963.9,-1.0,-1.0,-1.0,18.3,-1.0,-1.0,-1.0
2025-01-20 08:51:33,5,1,26376.7,-1.0,-1.0,-1.0,12.2,-1.0,-1.0,-1.0
2025-01-20 08:52:03,3,1,25395.8,-1.0,-1.0,-1.0,34.0,-1.0,-1.0,-1.0
2025-01-20 08:52:33,12,1,26667.0,-1.0,-1.0,-1.0,13.4,-1.0,-1.0,-1.0
2025-01-20 08:53:03,4,2,31122.5,-1.0,-1.0,-1.0,11.5,-1.0,-1.0,-1.0
2025-01-20 08:53:33,4,0,24599.9,-1.0,-1.0,-1.0,12.8,-1.0,-1.0,-1.0
2025-01-20 08:54:03,2,2,24470.0,-1.0,-1.0,-1.0,15.1,-1.0,-1.0,-1.0
2025-01-20 08:54:33,3,1,24148.5,-1.0,-1.0,-1.0,16.3,-1.0,-1.0,-1.0
2025-01-20 08:55:03,5,2,24932.1,-1.0,-1.0,-1.0,13.6,-1.0,-1.0,-1.0
2025-01-20 08:55:33,4,2,26939.2,-1.0,-1.0,-1.0,13.7,-1.0,-1.0,-1.0
2025-01-20 08:56:03,4,0,25997.3,-1.0,-1.0,-1.0,20.6,-1.0,-1.0,-1.0
2025-01-20 08:56:33,3,1,24638.3,-1.0,-1.0,-1.0,15.3,-1.0,-1.0,-1.0
2025-01-20 08:57:03,3,2,25101.4,-1.0,-1.0,-1.0,29.6,-1.0,-1.0,-1.0
2025-01-20 08:57:33,4,1,24359.2,-1.0,-1.0,-1.0,12.1,-1.0,-1.0,-1.0
2025-01-20 08:58:03,5,0,24486.4,-1.0,-1.0,-1.0,14.4,-1.0,-1.0,-1.0
2025-01-20 08:58:33,6,1,24707.8,-1.0,-1.0,-1.0,15.1,-1.0,-1.0,-1.0
2025-01-20 08:59:03,4,0,24823.8,-1.0,-1.0,-1.0,12.4,-1.0,-1.0,-1.0
2025-01-20 08:59:33,4,2,25139.5,-1.0,-1.0,-1.0,14.4,-1.0,-1.0,-1.0
2025-01-20 09:00:03,2,3,25270.5,-1.0,-1.0,-1.0,18.5,-1.0,-1.0,-1.0
2025-01-20 09:00:33,5,1,25271.1,-1.0,-1.0,-1.0,17.5,-1.0,-1.0,-1.0
2025-01-20 09:01:03,5,1,25865.4,-1.0,-1.0,-1.0,19.7,-1.0,-1.0,-1.0
2025-01-20 09:01:33,6,2,27557.9,-1.0,-1.0,-1.0,14.8,-1.0,-1.0,-1.0
2025-01-20 09:02:03,3,0,25218.4,-1.0,-1.0,-1.0,32.7,-1.0,-1.0,-1.0
2025-01-20 09:02:33,4,2,24531.6,-1.0,-1.0,-1.0,13.4,-1.0,-1.0,-1.0
2025-01-20 09:03:03,2,2,25217.8,-1.0,-1.0,-1.0,12.9,-1.0,-1.0,-1.0
2025-01-20 09:03:33,5,1,24760.5,-1.0,-1.0,-1.0,14.4,-1.0,-1.0,-1.0
2025-01-20 09:04:03,6,0,25926.6,-1.0,-1.0,-1.0,15.0,-1.0,-1.0,-1.0
2025-01-20 09:04:32,9,0,25090.4,-1.0,-1.0,-1.0,15.2,-1.0,-1.0,-1.0
2025-01-20 09:05:02,4,1,25942.6,-1.0,-1.0,-1.0,15.5,-1.0,-1.0,-1.0
2025-01-20 09:05:33,4,1,24389.6,-1.0,-1.0,-1.0,12.5,-1.0,-1.0,-1.0
2025-01-20 09:06:03,8,0,26446.9,-1.0,-1.0,-1.0,18.9,-1.0,-1.0,-1.0
2025-01-20 09:06:33,2,2,25741.6,-1.0,-1.0,-1.0,13.2,-1.0,-1.0,-1.0
2025-01-20 09:07:03,2,2,25970.1,-1.0,-1.0,-1.0,30.7,-1.0,-1.0,-1.0
2025-01-20 09:07:33,5,0,24625.0,-1.0,-1.0,-1.0,13.1,-1.0,-1.0,-1.0
2025-01-20 09:08:03,3,0,25301.8,-1.0,-1.0,-1.0,13.9,-1.0,-1.0,-1.0
2025-01-20 09:08:33,3,1,24570.5,-1.0,-1.0,-1.0,14.6,-1.0,-1.0,-1.0
2025-01-20 09:09:03,4,0,24085.4,-1.0,-1.0,-1.0,11.4,-1.0,-1.0,-1.0
2025-01-20 09:09:33,2,2,25129.7,-1.0,-1.0,-1.0,14.0,-1.0,-1.0,-1.0
2025-01-20 09:10:03,7,0,24857.5,-1.0,-1.0,-1.0,16.4,-1.0,-1.0,-1.0
2025-01-20 09:10:33,2,1,24017.7,-1.0,-1.0,-1.0,13.7,-1.0,-1.0,-1.0
2025-01-20 09:11:03,4,0,24679.5,-1.0,-1.0,-1.0,16.4,-1.0,-1.0,-1.0
2025-01-20 09:11:33,3,2,25253.2,-1.0,-1.0,-1.0,12.0,-1.0,-1.0,-1.0
2025-01-20 09:12:03,3,0,25232.1,-1.0,-1.0,-1.0,33.2,-1.0,-1.0,-1.0
2025-01-20 09:12:33,5,0,26176.3,-1.0,-1.0,-1.0,13.8,-1.0,-1.0,-1.0
2025-01-20 09:13:03,2,2,27160.4,-1.0,-1.0,-1.0,11.6,-1.0,-1.0,-1.0
2025-01-20 09:13:33,6,1,27616.0,-1.0,-1.0,-1.0,14.1,-1.0,-1.0,-1.0
2025-01-20 09:14:03,4,2,25804.8,-1.0,-1.0,-1.0,14.7,-1.0,-1.0,-1.0
2025-01-20 09:14:33,2,1,24233.2,-1.0,-1.0,-1.0,14.5,-1.0,-1.0,-1.0
2025-01-20 09:15:03,5,2,25721.2,-1.0,-1.0,-1.0,13.6,-1.0,-1.0,-1.0
2025-01-20 09:15:33,4,0,28018.8,-1.0,-1.0,-1.0,13.4,-1.0,-1.0,-1.0
2025-01-20 09:16:03,4,2,25357.2,-1.0,-1.0,-1.0,21.2,-1.0,-1.0,-1.0
2025-01-20 09:16:33,3,0,24344.9,-1.0,-1.0,-1.0,12.6,-1.0,-1.0,-1.0
2025-01-20 09:17:03,4,1,24948.3,-1.0,-1.0,-1.0,31.4,-1.0,-1.0,-1.0
2025-01-20 09:17:33,4,1,23327.6,-1.0,-1.0,-1.0,12.0,-1.0,-1.0,-1.0
2025-01-20 09:18:03,3,0,24663.5,-1.0,-1.0,-1.0,13.6,-1.0,-1.0,-1.0
2025-01-20 09:18:33,5,0,24364.4,-1.0,-1.0,-1.0,14.3,-1.0,-1.0,-1.0
2025-01-20 09:19:03,4,2,24556.4,-1.0,-1.0,-1.0,11.9,-1.0,-1.0,-1.0
2025-01-20 09:19:33,3,2,26088.7,-1.0,-1.0,-1.0,12.5,-1.0,-1.0,-1.0
2025-01-20 09:20:03,4,2,26661.1,-1.0,-1.0,-1.0,16.2,-1.0,-1.0,-1.0
2025-01-20 09:20:33,3,3,28359.4,-1.0,-1.0,-1.0,13.5,-1.0,-1.0,-1.0
2025-01-20 09:21:03,4,1,25724.4,-1.0,-1.0,-1.0,17.3,-1.0,-1.0,-1.0
2025-01-20 09:21:33,7,0,24443.6,-1.0,-1.0,-1.0,15.5,-1.0,-1.0,-1.0
2025-01-20 09:22:03,4,2,26438.1,-1.0,-1.0,-1.0,33.5,-1.0,-1.0,-1.0
2025-01-20 09:22:33,4,1,27201.0,-1.0,-1.0,-1.0,16.6,-1.0,-1.0,-1.0
2025-01-20 09:23:03,3,3,26428.0,-1.0,-1.0,-1.0,11.6,-1.0,-1.0,-1.0
2025-01-20 09:23:33,5,1,27125.0,-1.0,-1.0,-1.0,13.4,-1.0,-1.0,-1.0
2025-01-20 09:24:03,2,2,25766.9,-1.0,-1.0,-1.0,15.2,-1.0,-1.0,-1.0
2025-01-20 09:24:33,3,1,27730.7,-1.0,-1.0,-1.0,14.8,-1.0,-1.0,-1.0
2025-01-20 09:25:03,4,0,25520.5,-1.0,-1.0,-1.0,14.0,-1.0,-1.0,-1.0
2025-01-20 09:25:33,5,1,26219.7,-1.0,-1.0,-1.0,14.3,-1.0,-1.0,-1.0
2025-01-20 09:26:03,4,2,24681.1,-1.0,-1.0,-1.0,19.8,-1.0,-1.0,-1.0
2025-01-20 09:26:33,6,0,23439.8,-1.0,-1.0,-1.0,15.2,-1.0,-1.0,-1.0
2025-01-20 09:27:03,6,0,25395.3,-1.0,-1.0,-1.0,29.1,-1.0,-1.0,-1.0
2025-01-20 09:27:33,4,2,25837.9,-1.0,-1.0,-1.0,13.8,-1.0,-1.0,-1.0
2025-01-20 09:28:03,2,1,25625.4,-1.0,-1.0,-1.0,14.4,-1.0,-1.0,-1.0
2025-01-20 09:28:33,3,3,26149.3,-1.0,-1.0,-1.0,13.3,-1.0,-1.0,-1.0
2025-01-20 09:29:03,5,3,24289.6,-1.0,-1.0,-1.0,12.1,-1.0,-1.0,-1.0
2025-01-20 09:29:33,5,2,25283.4,-1.0,-1.0,-1.0,16.5,-1.0,-1.0,-1.0
2025-01-20 09:30:03,4,1,24546.1,-1.0,-1.0,-1.0,16.2,-1.0,-1.0,-1.0
2025-01-20 09:30:33,4,0,24629.6,-1.0,-1.0,-1.0,14.3,-1.0,-1.0,-1.0
2025-01-20 09:31:03,4,1,28502.4,-1.0,-1.0,-1.0,18.7,-1.0,-1.0,-1.0
2025-01-20 09:31:33,4,2,25773.5,-1.0,-1.0,-1.0,12.0,-1.0,-1.0,-1.0
2025-01-20 09:32:03,4,2,25757.5,-1.0,-1.0,-1.0,33.1,-1.0,-1.0,-1.0
2025-01-20 09:32:33,4,3,29254.7,-1.0,-1.0,-1.0,15.3,-1.0,-1.0,-1.0
2025-01-20 09:33:03,3,1,27585.6,-1.0,-1.0,-1.0,11.7,-1.0,-1.0,-1.0
2025-01-20 09:33:33,3,2,27164.3,-1.0,-1.0,-1.0,12.8,-1.0,-1.0,-1.0
2025-01-20 09:34:03,4,2,27577.5,-1.0,-1.0,-1.0,16.0,-1.0,-1.0,-1.0
2025-01-20 09:34:33,2,1,26606.4,-1.0,-1.0,-1.0,15.8,-1.0,-1.0,-1.0
2025-01-20 09:35:03,4,2,27478.4,-1.0,-1.0,-1.0,15.1,-1.0,-1.0,-1.0
2025-01-20 09:35:33,5,1,29738.4,-1.0,-1.0,-1.0,13.9,-1.0,-1.0,-1.0
2025-01-20 09:36:02,5,1,27640.3,-1.0,-1.0,-1.0,21.1,-1.0,-1.0,-1.0
2025-01-20 09:36:33,5,2,26365.1,-1.0,-1.0,-1.0,14.2,-1.0,-1.0,-1.0
2025-01-20 09:37:03,3,1,25494.5,-1.0,-1.0,-1.0,30.9,-1.0,-1.0,-1.0
2025-01-20 09:37:33,4,0,25630.7,-1.0,-1.0,-1.0,14.3,-1.0,-1.0,-1.0
2025-01-20 09:38:03,3,1,24821.5,-1.0,-1.0,-1.0,14.7,-1.0,-1.0,-1.0
2025-01-20 09:38:33,4,2,24188.4,-1.0,-1.0,-1.0,14.4,-1.0,-1.0,-1.0
2025-01-20 09:39:03,3,1,24325.5,-1.0,-1.0,-1.0,12.7,-1.0,-1.0,-1.0
2025-01-20 09:39:33,1,2,24651.5,-1.0,-1.0,-1.0,14.4,-1.0,-1.0,-1.0
2025-01-20 09:40:03,5,3,25283.4,-1.0,-1.0,-1.0,17.8,-1.0,-1.0,-1.0
2025-01-20 09:40:33,6,1,25500.8,-1.0,-1.0,-1.0,14.8,-1.0,-1.0,-1.0
